150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB WONOSOBO,102.74,103.24,103.36,-,-,-,-,-,-,-,-,-,-,105.67,105.67,105.67,-,-,-,-,-,-,-,-,-,-,105.99,107.61,107.82,-,-,-,-,-,-,-,-,-,-,102.93,102.93,102.93,-,-,-,-,-,-,-,-,-,-,100.48,100.52,100.64,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,103.14,103.18,103.19,-,-,-,-,-,-,-,-,-,-,103.22,103.22,103.22,-,-,-,-,-,-,-,-,-,-,101.98,102.12,102.17,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,104.72,104.72,104.72,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,104.72,104.91,105.03,-,-,-,-,-,-,-,-,-,-,111.83,111.83,111.83,-,-,-,-,-,-,-,-,-,-,106.28,107.08,107.23,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,104.55,104.55,104.7,-,-,-,-,-,-,-,-,-,-
KUDUS,103.42,103.76,103.93,-,-,-,-,-,-,-,-,-,-,105.65,105.81,106.2,-,-,-,-,-,-,-,-,-,-,106.15,108.03,108.24,-,-,-,-,-,-,-,-,-,-,100.77,100.77,100.77,-,-,-,-,-,-,-,-,-,-,102.98,102.98,103.14,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,103.97,104.05,104.13,-,-,-,-,-,-,-,-,-,-,104.48,104.48,104.48,-,-,-,-,-,-,-,-,-,-,108.1,108.18,108.35,-,-,-,-,-,-,-,-,-,-,102.67,103.14,103.14,-,-,-,-,-,-,-,-,-,-,102.91,102.91,103.01,-,-,-,-,-,-,-,-,-,-
KOTA SEMARANG,102.49,102.57,102.61,-,-,-,-,-,-,-,-,-,-,102.5,102.5,102.5,-,-,-,-,-,-,-,-,-,-,104.98,105.44,105.66,-,-,-,-,-,-,-,-,-,-,100.76,100.76,100.76,-,-,-,-,-,-,-,-,-,-,102.25,102.25,102.25,-,-,-,-,-,-,-,-,-,-
KOTA TEGAL,103.72,103.64,103.56,-,-,-,-,-,-,-,-,-,-,101.24,101.24,101.24,-,-,-,-,-,-,-,-,-,-,102.76,102.76,102.76,-,-,-,-,-,-,-,-,-,-,109.73,109.73,109.73,-,-,-,-,-,-,-,-,-,-,102.78,102.61,102.44,-,-,-,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,101.54,101.54,101.56,-,-,-,-,-,-,-,-,-,-,100.84,100.84,100.84,-,-,-,-,-,-,-,-,-,-,104.34,104.38,104.47,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.53,101.53,101.53,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,105.38,105.46,105.47,-,-,-,-,-,-,-,-,-,-,105.37,105.37,105.37,-,-,-,-,-,-,-,-,-,-,111.19,111.71,111.8,-,-,-,-,-,-,-,-,-,-,108.68,108.68,108.68,-,-,-,-,-,-,-,-,-,-,102.12,102.12,102.12,-,-,-,-,-,-,-,-,-,-
KAB TULUNGAGUNG,106.49,106.49,106.7,-,-,-,-,-,-,-,-,-,-,102.18,102.18,102.18,-,-,-,-,-,-,-,-,-,-,116.48,116.46,117.81,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,106.15,106.15,106.15,-,-,-,-,-,-,-,-,-,-
JEMBER,106.47,106.66,106.99,-,-,-,-,-,-,-,-,-,-,105.66,105.66,105.66,-,-,-,-,-,-,-,-,-,-,104.87,104.7,104.81,-,-,-,-,-,-,-,-,-,-,118.62,118.62,118.62,-,-,-,-,-,-,-,-,-,-,103.96,104.3,104.82,-,-,-,-,-,-,-,-,-,-
BANYUWANGI,103.96,103.97,104.59,-,-,-,-,-,-,-,-,-,-,110.44,110.44,110.44,-,-,-,-,-,-,-,-,-,-,102.81,102.84,102.84,-,-,-,-,-,-,-,-,-,-,102.13,102.13,102.13,-,-,-,-,-,-,-,-,-,-,104.26,104.26,105.37,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,103.51,104.55,104.56,-,-,-,-,-,-,-,-,-,-,102.09,105.92,105.92,-,-,-,-,-,-,-,-,-,-,105.25,105.27,105.31,-,-,-,-,-,-,-,-,-,-,101.42,101.42,101.42,-,-,-,-,-,-,-,-,-,-,103.87,103.87,103.87,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,102.51,102.58,102.62,-,-,-,-,-,-,-,-,-,-,104.04,104.04,104.04,-,-,-,-,-,-,-,-,-,-,104.46,105,105.04,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.21,101.22,101.32,-,-,-,-,-,-,-,-,-,-
SUMENEP,105.26,105.32,105.32,-,-,-,-,-,-,-,-,-,-,106.89,106.89,106.89,-,-,-,-,-,-,-,-,-,-,106.23,106.41,106.41,-,-,-,-,-,-,-,-,-,-,126.73,126.73,126.73,-,-,-,-,-,-,-,-,-,-,102.16,102.16,102.16,-,-,-,-,-,-,-,-,-,-
KOTA KEDIRI,103.71,103.73,103.86,-,-,-,-,-,-,-,-,-,-,104.64,104.64,104.88,-,-,-,-,-,-,-,-,-,-,103.86,103.92,104.34,-,-,-,-,-,-,-,-,-,-,102.91,103.33,103.33,-,-,-,-,-,-,-,-,-,-,103.43,103.4,103.4,-,-,-,-,-,-,-,-,-,-
