150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BENGKULU,110.93,110.65,110.48,110.91,110.06,110.33,111.24,111.83,114.1,114.28,114.29,115.88,-,109.3,108.78,108.62,109.06,107.97,108.13,109.17,109.76,112.59,112.58,112.66,114.58,-,107.68,107.99,106.57,107.25,106.61,107.68,107.8,107.8,106.34,108.62,107.64,108.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120.44,121.17,121.37,121.66,122.03,122.56,123.11,123.87,124.44,124.93,124.93,124.99,-
KAB LAMPUNG TIMUR,118.98,118.19,122.32,123.24,121.17,120.81,121.74,121.95,120.65,119.97,121.16,123.21,-,118.53,117.55,122.72,123.85,120.98,120.53,121.69,121.77,120.08,119.22,120.67,123.23,-,142.03,142.03,142.03,142.03,145.18,145.18,145.18,145.18,143.31,143.31,144.03,144.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.05,115.05,115.05,115.05,115.72,115.72,115.72,116.63,117.49,117.54,117.54,117.54,-
KAB MESUJI,119.98,119.12,120.89,123.45,120.71,121.53,121.69,121.62,120.14,120.46,120.28,122.64,-,117.74,116.82,119.38,122.37,118.81,119.82,120.06,120.05,118.15,118.43,118,121,-,118.37,115.62,110.6,110.6,111.73,111.73,111.11,109.99,110.02,109.98,109.98,110.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131.13,131.13,131.13,132.44,132.44,132.54,132.59,132.59,132.59,133.23,134.18,134.18,-
KOTA BANDAR LAMPUNG,112.37,111.97,113.81,114.01,112.41,112.75,112.88,111.52,112.44,112.84,113.28,114.54,-,110.19,109.62,111.72,111.83,109.76,110.1,110.21,108.55,109.59,110.07,110.57,112.11,-,126.35,126.61,128.32,129.27,130.04,130.43,130.13,130.21,130.24,130.19,130.24,129.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120.6,121.03,121.13,121.61,122.04,122.43,122.88,122.89,123.39,123.45,123.73,123.8,-
KOTA METRO,117.35,115.7,117.61,116.26,114.41,114.35,115.12,114.18,115.72,115.7,116.08,118.23,-,116.24,114.2,116.53,114.85,112.55,112.42,113.37,112.18,114.1,113.92,114.25,116.92,-,112.18,111.82,112.65,112.67,112.66,113.83,113.97,114.36,114.17,117.12,118.38,118.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124.62,124.63,124.63,124.64,124.64,124.64,124.66,124.66,124.67,124.67,125.09,125.09,-
TANJUNG PANDAN,111.68,110.41,106.78,109.14,106.81,108.21,111.67,110.1,111.34,113.79,111.74,113.3,-,110.38,108.78,104.06,107.03,104,105.78,110.01,108.02,109.27,112.37,109.83,111.8,-,109.21,109.21,109.21,109.21,109.21,109.21,109.21,109.09,109.09,109.09,108.09,108.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119.32,119.32,119.97,119.97,120.4,120.4,121.12,121.25,122.88,122.88,122.99,122.99,-
KAB BANGKA BARAT,102.28,101.63,103.24,104.41,101.61,100.57,100.91,101.02,102.47,103.09,104.54,106.99,-,99.68,98.78,100.65,101.93,98.54,97.26,97.66,97.67,99.41,99.93,101.67,104.54,-,109.73,111.43,111.42,111.69,111.87,111.87,111.66,111.75,111.47,111.82,111.66,111.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117.59,117.79,118.22,119.04,119.1,119.4,119.56,120.33,120.46,121.83,121.9,122.35,-
KAB BELITUNG TIMUR,102.6,102.43,100.65,102.02,99.39,101.38,104,102.39,101.81,104.27,104.23,104.89,-,101.78,101.57,99.35,101.05,97.67,100.16,103.43,101.35,100.63,103.7,103.64,104.46,-,108.59,108.59,108.59,108.59,108.59,108.59,108.59,108.59,108.59,108.59,108.59,108.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.84,104.84,104.84,104.84,105.36,105.36,105.36,105.77,105.77,105.79,105.79,105.79,-
KOTA PANGKAL PINANG,110.98,110.7,110.21,113.13,109.88,111.29,112.75,111.41,113.49,113.38,115.58,115.78,-,107.34,106.88,106.24,109.83,105.72,107.42,109.18,107.59,109.99,109.78,112.49,112.7,-,122.19,122.58,122.59,122.64,122.84,123.15,123.19,121.62,123.92,124.27,124.41,124.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127.91,128.45,128.61,128.68,129.2,129.34,129.57,129.82,129.95,130.2,130.2,130.47,-
KAB KARIMUN,112.71,109.78,108.6,112.26,108.76,107.07,108.31,110.75,113.01,111.56,111.69,114.07,-,111.73,108.22,106.71,111.1,106.91,104.89,106.33,109.06,111.58,109.85,109.88,112.73,-,113.26,113.26,114.41,114.18,114.19,114.19,114.19,114.19,114.19,114.19,114.36,114.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120.26,120.34,120.34,120.41,120.45,120.45,120.8,122.35,123.82,123.82,124.65,124.68,-
