150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA PALEMBANG,109.72,109.56,110.22,-,-,-,-,-,-,-,-,-,-,104.07,104.22,104.38,-,-,-,-,-,-,-,-,-,-,111.88,111.31,111.77,-,-,-,-,-,-,-,-,-,-,111.39,112.48,115.08,-,-,-,-,-,-,-,-,-,-,100.29,100.29,100.29,-,-,-,-,-,-,-,-,-,-
KOTA LUBUK LINGGAU,111.35,111.21,111.36,-,-,-,-,-,-,-,-,-,-,111.35,111.4,111.4,-,-,-,-,-,-,-,-,-,-,113.35,113.08,113.56,-,-,-,-,-,-,-,-,-,-,105.62,105.59,104.98,-,-,-,-,-,-,-,-,-,-,102.78,102.78,102.78,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,114.46,114.26,115.46,-,-,-,-,-,-,-,-,-,-,105.08,105.08,105.08,-,-,-,-,-,-,-,-,-,-,117.09,116.81,117.89,-,-,-,-,-,-,-,-,-,-,113.97,113.97,118.86,-,-,-,-,-,-,-,-,-,-,114.97,114.97,114.97,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,113.69,113.51,113.86,-,-,-,-,-,-,-,-,-,-,111.89,112.39,112.38,-,-,-,-,-,-,-,-,-,-,115.05,114.4,115.02,-,-,-,-,-,-,-,-,-,-,112.55,112.66,112.72,-,-,-,-,-,-,-,-,-,-,109.67,109.67,109.67,-,-,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,112.87,112.15,112.99,-,-,-,-,-,-,-,-,-,-,110.4,110.4,110.9,-,-,-,-,-,-,-,-,-,-,113.37,112.51,113.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.09,105.09,105.09,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,112.08,111.33,111.96,-,-,-,-,-,-,-,-,-,-,102.42,102.52,102.62,-,-,-,-,-,-,-,-,-,-,113.33,112.39,113.15,-,-,-,-,-,-,-,-,-,-,118.15,118.15,118.15,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,110.22,110.64,111.09,-,-,-,-,-,-,-,-,-,-,108.04,110.53,110.53,-,-,-,-,-,-,-,-,-,-,112.57,111.84,112.38,-,-,-,-,-,-,-,-,-,-,102.86,104.55,105.55,-,-,-,-,-,-,-,-,-,-,115.44,115.44,115.44,-,-,-,-,-,-,-,-,-,-
KOTA METRO,112.47,112.18,112.96,-,-,-,-,-,-,-,-,-,-,113.76,113.79,113.82,-,-,-,-,-,-,-,-,-,-,112.6,112,112.66,-,-,-,-,-,-,-,-,-,-,105.51,106.24,111.93,-,-,-,-,-,-,-,-,-,-,106.3,106.3,106.3,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,114.74,115.36,114.83,-,-,-,-,-,-,-,-,-,-,109.61,110.35,110.35,-,-,-,-,-,-,-,-,-,-,114.7,114.5,114.69,-,-,-,-,-,-,-,-,-,-,127.81,133.21,126.84,-,-,-,-,-,-,-,-,-,-,126.09,126.09,126.09,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,113.55,113.32,113.54,-,-,-,-,-,-,-,-,-,-,110.47,110.47,110.47,-,-,-,-,-,-,-,-,-,-,114.29,113.99,114.27,-,-,-,-,-,-,-,-,-,-,113.58,113.58,113.58,-,-,-,-,-,-,-,-,-,-,101.19,101.19,101.19,-,-,-,-,-,-,-,-,-,-
