90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA METRO,118.66,119.1,119.84,120.17,120.33,119.47,119.53,119.63,120.58,121.36,120.97,120.91,-,113.3,114.46,114.9,115.38,115.98,116.07,116.18,116.18,116.14,116.14,116.08,116.05,-,123.81,123.86,124.88,125.19,125.1,123.37,123.43,123.6,125.45,126.93,126.24,126.09,-,111.07,111.07,111.41,111.37,111.3,111.33,111.31,111.33,111.16,111.1,111.16,111.39,-,123.08,123.08,123.08,123.08,123.08,130.83,130.83,130.83,130.83,130.83,130.83,130.83,-
TANJUNG PANDAN,131.62,131.72,133.1,137.74,139.37,137.02,144.04,141.86,143.2,143.49,143.87,144.66,-,111.42,112.03,112.08,112.08,112.2,112.2,112.6,112.6,112.6,112.65,112.65,112.66,-,132.17,132.18,132.32,132.31,132.31,132.11,133.44,133.45,133.67,133.84,133.76,133.74,-,142.54,142.66,149.86,175.93,184.31,171.94,205.85,193.55,200.24,201.16,203.55,208.07,-,104.77,104.77,104.77,104.77,132.1,132.1,132.1,132.1,132.1,132.1,132.1,132.1,-
KOTA PANGKAL PINANG,111.61,109.96,110.35,112.46,111.78,110.67,114.2,113.25,113.16,112.74,114.22,114.82,-,101.37,101.37,101.37,101.37,101.37,101.37,101.39,101.39,101.39,101.39,101.39,101.39,-,122.62,122.61,122.82,122.82,122.82,122.46,122.47,122.49,122.86,123.16,123.03,122.99,-,107.28,98.54,100.12,111.23,107.65,102.6,121.12,116.09,114.78,111.91,120.01,123.2,-,128.38,129.81,129.81,129.81,129.81,129.81,129.81,129.81,129.81,129.81,129.81,129.81,-
KOTA BATAM,116.39,113.62,114.01,118.12,114.63,115.99,117.56,116.52,116.65,118.46,119.08,120.14,-,107.73,107.73,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.94,107.94,-,116.06,116.22,116.57,116.54,115.99,114.67,114.81,114.96,115.87,116.47,116,115.95,-,124.59,112.11,112.81,130.78,116.96,126.06,132.56,127.68,126,132.46,136.27,140.98,-,132.93,132.93,132.93,132.93,132.93,132.93,132.93,132.93,132.93,132.93,132.93,132.93,-
KOTA TANJUNG PINANG,116.59,115.2,116.13,118.52,117.5,116.95,118.98,118.67,118.58,119.01,118.79,119.73,-,111.79,111.79,111.98,113.63,113.63,113.63,113.63,114.83,114.83,114.83,114.83,114.83,-,120.63,120.67,121.07,121.25,121.24,120.74,121.24,121.36,121.91,122.3,122.04,122.07,-,114.23,108.34,111.22,118.88,114.61,113.28,120.84,117.83,116.38,117.44,116.99,120.92,-,132.12,132.12,132.12,132.12,132.12,132.12,132.12,132.12,132.12,132.12,132.12,132.12,-
DKI JAKARTA,114.82,114.85,115.44,116.32,115.8,115.33,116.15,116.17,116.33,117.11,117.26,118.25,-,102.02,102.05,102.05,102.05,102.05,102.13,102.11,102.11,102.18,102.18,102.18,102.18,-,117.17,117.21,117.76,117.74,117.83,116.65,116.72,116.85,118.15,118.96,118.48,118.52,-,120.89,120.88,122.14,126.21,123.57,124.45,128.01,127.77,125.06,126.49,128.38,132.79,-,112.03,112.03,112.03,113.43,113.43,113.43,113.43,113.43,113.43,113.43,116.54,116.54,-
KOTA BOGOR,118.97,118.97,119.17,119.59,119.28,118.87,118.87,119.27,120.25,120.8,120.54,120.56,-,107.17,107.29,107.29,107.29,107.21,107.33,107.21,108.05,108.52,108.52,108.52,108.72,-,120.22,120.2,120.57,120.55,120.54,119.73,119.76,120.24,121.93,122.97,122.47,122.44,-,123.35,123.35,123.35,124.77,123.81,123.81,123.81,123.81,123.81,123.81,123.81,123.81,-,120,120,120,120,120,120,120,120,128.57,128.57,128.57,128.57,-
KOTA SUKABUMI,124.21,124.91,125.22,126.34,125.39,124.94,124.96,124.98,125.7,126.08,126.06,126.08,-,102.01,105.99,105.99,105.99,105.99,105.99,105.99,105.99,105.99,105.99,105.99,105.99,-,125.93,125.92,126.49,126.89,126.66,125.83,125.87,125.92,127.24,127.94,127.91,127.95,-,134.88,134.88,134.88,138.09,135.14,135.14,135.14,135.14,135.14,135.14,135.14,135.14,-,102.8,106.29,106.29,106.29,106.29,106.29,106.29,106.29,106.29,106.29,106.29,106.29,-
KOTA BANDUNG,115.72,115.71,116.1,116.47,116.31,115.65,115.95,116.03,116.73,117.37,116.91,117.04,-,103.27,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,-,121.63,121.66,122.31,122.28,122.35,121.18,121.27,121.36,122.66,123.64,122.74,122.63,-,109.53,109.36,109.31,111.33,110.3,110.57,111.82,111.98,111.45,111.68,112.14,113.15,-,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,-
KOTA CIREBON,119.47,119.43,119.72,121.13,120.2,119.79,119.83,119.97,120.33,120.75,120.14,121.28,-,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,-,124.09,124.11,124.62,125.22,124.95,124.01,124.09,124.33,125.27,126,125.33,125.51,-,138.54,138.11,138.11,145.31,140.09,140.93,140.93,140.93,139.67,139.67,138.16,145.16,-,109.08,113.19,113.19,113.19,113.19,113.19,113.19,113.19,113.19,113.19,113.19,113.19,-
